step_num,step_time_ms,forward_time_ms,backward_time_ms,optimizer_time_ms,gpu_memory_allocated_mb,gpu_memory_reserved_mb,gpu_memory_peak_mb,gpu_utilization,cpu_utilization,timestamp
0,440.32808,231.529956,154.034018,54.625135,3438.48876953125,9160.0,8910.732421875,44.0,0.6,2026-02-18T17:46:48.876822
1,250.75735,77.134721,134.668981,38.016902,3440.73876953125,10940.0,10616.72705078125,99.0,0.5,2026-02-18T17:46:49.129729
2,249.968746,77.023959,134.178604,37.787128,3437.98876953125,10940.0,10616.72705078125,97.0,0.5,2026-02-18T17:46:49.381724
3,251.086285,77.667459,134.671992,37.839959,3437.98876953125,10940.0,10616.72705078125,97.0,0.5,2026-02-18T17:46:49.634489
4,250.646047,77.035289,134.743664,37.941651,3437.98876953125,10940.0,10616.72705078125,99.0,0.5,2026-02-18T17:46:49.888560
5,250.378223,76.961628,134.618371,37.859689,3437.98876953125,10940.0,10616.72705078125,97.0,0.5,2026-02-18T17:46:50.140666
6,250.737988,77.236282,134.634161,37.956591,3437.98876953125,10940.0,10616.72705078125,97.0,0.5,2026-02-18T17:46:50.393058
7,250.493196,77.0418,134.646481,37.86581,3437.98876953125,10940.0,10616.72705078125,97.0,0.5,2026-02-18T17:46:50.645680
8,250.494464,76.782315,134.734493,37.9424,3437.98876953125,10940.0,10616.72705078125,99.0,0.5,2026-02-18T17:46:50.897945
9,251.137155,77.641609,134.486378,37.92468,3437.98876953125,10940.0,10616.72705078125,97.0,0.5,2026-02-18T17:46:51.150922
10,250.609927,76.980489,134.871165,37.810369,3437.98876953125,10940.0,10616.72705078125,97.0,0.6,2026-02-18T17:46:51.403603
11,250.244451,76.907567,134.518899,37.84026,3437.98876953125,10940.0,10616.72705078125,97.0,0.5,2026-02-18T17:46:51.655542
12,250.713148,77.08495,134.843174,37.868459,3437.98876953125,10940.0,10616.72705078125,99.0,0.5,2026-02-18T17:46:51.908258
13,250.612537,76.910317,134.825344,37.883649,3437.98876953125,10940.0,10616.72705078125,97.0,0.5,2026-02-18T17:46:52.160575
14,250.891001,77.261853,134.861154,37.826599,3437.98876953125,10940.0,10616.72705078125,97.0,0.6,2026-02-18T17:46:52.413146
15,250.799569,77.141251,134.819995,37.856739,3437.98876953125,10940.0,10616.72705078125,98.0,0.6,2026-02-18T17:46:52.665951
16,250.586236,76.895706,134.639651,38.087942,3437.98876953125,10940.0,10616.72705078125,99.0,0.5,2026-02-18T17:46:52.918206
17,250.927042,77.289474,134.693792,37.955731,3437.98876953125,10940.0,10616.72705078125,98.0,0.5,2026-02-18T17:46:53.170830
18,250.750389,77.07825,134.797793,37.91477,3437.98876953125,10940.0,10616.72705078125,97.0,0.5,2026-02-18T17:46:53.423788
19,250.467534,76.966908,134.756123,37.795809,3437.98876953125,10940.0,10616.72705078125,97.0,0.5,2026-02-18T17:46:53.675955
20,251.128425,77.329384,134.993527,37.869519,3437.98876953125,10940.0,10616.72705078125,99.0,0.5,2026-02-18T17:46:53.929111
21,251.298147,77.049049,134.875205,38.374027,3437.98876953125,10940.0,10616.72705078125,97.0,0.5,2026-02-18T17:46:54.182647
22,250.405264,77.07259,134.58312,37.817179,3437.98876953125,10940.0,10616.72705078125,96.0,0.5,2026-02-18T17:46:54.434775
23,250.939542,77.223162,134.946826,37.776338,3437.98876953125,10940.0,10616.72705078125,99.0,0.5,2026-02-18T17:46:54.687588
24,250.580006,76.977458,134.847914,37.787349,3437.98876953125,10940.0,10616.72705078125,98.0,0.5,2026-02-18T17:46:54.939826
