step_num,step_time_ms,forward_time_ms,backward_time_ms,optimizer_time_ms,gpu_memory_allocated_mb,gpu_memory_reserved_mb,gpu_memory_peak_mb,gpu_power_forward_start_w,gpu_power_forward_end_w,gpu_power_backward_start_w,gpu_power_backward_end_w,gpu_power_optimizer_start_w,gpu_power_optimizer_end_w,energy_forward_j,energy_backward_j,energy_optimizer_j,energy_step_j,gpu_temperature_c,gpu_utilization,gpu_memory_utilization,cpu_utilization,timestamp
0,438.877329,233.676036,149.616443,54.853579,3437.73876953125,9160.0,8910.732421875,13.391,25.84,25.84,35.225,35.225,69.156,4.583672284158,4.5681640458974995,2.8628357147995,12.014672044854999,30.0,78.0,55.0,0.6,2026-02-20T14:42:52.154495
1,253.414689,77.888625,136.19453,37.942362,3436.36376953125,10940.0,10615.47705078125,69.156,69.156,69.156,92.751,92.751,92.751,5.386465750500001,11.025423884355002,3.519192017862,19.931081652717,31.0,89.0,71.0,0.5,2026-02-20T14:42:52.410077
2,250.578294,76.680906,134.436193,37.955152,3432.48876953125,10940.0,10615.47705078125,92.751,100.306,100.306,153.556,153.556,161.889,7.401892834821,17.064120413683003,5.986381461320001,30.452394709824006,32.0,98.0,72.0,0.6,2026-02-20T14:42:52.662150
3,251.159543,77.119873,134.804658,37.80668,3432.48876953125,10940.0,10615.47705078125,161.889,161.889,161.889,192.972,192.972,192.972,12.484859120097001,23.918457871269,7.295630652960001,43.698947644326,32.0,98.0,72.0,0.5,2026-02-20T14:42:52.914993
4,251.535699,77.008611,134.899109,38.204106,3432.48876953125,10940.0,10615.47705078125,192.972,206.731,206.731,210.662,210.662,210.276,15.3902864212665,28.1529719014185,8.040779985714,51.584038308399,33.0,97.0,76.0,0.5,2026-02-20T14:42:53.168510
5,250.663155,76.89404,134.505093,37.793569,3432.48876953125,10940.0,10615.47705078125,210.276,214.27,214.27,214.164,214.164,214.164,16.32252855292,28.813277507180995,8.094021911316,53.229827971416995,33.0,97.0,77.0,0.5,2026-02-20T14:42:53.420856
6,251.389846,77.324626,134.845028,37.81181,3432.48876953125,10940.0,10615.47705078125,214.164,212.044,212.044,214.466,214.466,213.286,16.478187099103998,28.75637644614,8.08703867556,53.321602220804,33.0,98.0,70.0,0.5,2026-02-20T14:42:53.673900
7,251.148313,77.066262,134.760238,37.83911,3432.48876953125,10940.0,10615.47705078125,213.286,213.373,213.373,214.003,214.003,214.003,16.440507139329,28.796645737744,8.09768305733,53.334835934403,33.0,98.0,75.0,0.5,2026-02-20T14:42:53.927125
8,251.338397,76.841088,134.88632,38.164885,3432.48876953125,10940.0,10615.47705078125,214.003,211.446,211.446,214.442,214.442,214.245,16.345982024256,28.723232526080004,8.1803950279975,53.2496095783335,34.0,96.0,76.0,0.5,2026-02-20T14:42:54.180122
9,251.544729,77.179534,134.91601,37.973143,3432.48876953125,10940.0,10615.47705078125,214.245,213.4,213.4,213.957,213.957,213.957,16.502720908715,28.828650642785,8.124619756851,53.455991308351,34.0,97.0,76.0,0.5,2026-02-20T14:42:54.433347
