step_num,step_time_ms,data_transfer_time_ms,forward_time_ms,backward_time_ms,optimizer_time_ms,overhead_time_ms,gpu_memory_allocated_mb,gpu_memory_reserved_mb,gpu_memory_peak_mb,gpu_power_step_start_w,gpu_power_step_end_w,gpu_power_data_transfer_start_w,gpu_power_data_transfer_end_w,gpu_power_forward_start_w,gpu_power_forward_end_w,gpu_power_backward_start_w,gpu_power_backward_end_w,gpu_power_optimizer_start_w,gpu_power_optimizer_end_w,energy_data_transfer_j,energy_forward_j,energy_backward_j,energy_optimizer_j,energy_overhead_j,energy_step_j,co2_step_mg,gpu_temperature_c,gpu_utilization,gpu_memory_utilization,cpu_utilization,timestamp
0,450.825512,0.103752,239.890482,154.875105,55.05397,0.902203,3437.73876953125,9160.0,8910.732421875,13.855,44.756,13.855,13.855,13.855,27.638,27.638,38.037,38.037,44.756,0.00143748396,4.976887884813,5.0857112604375,2.279041669105,0.026439510016500002,12.369517808332,0.10307931506943334,30.0,79.0,55.0,0.6,2026-02-21T20:01:50.004483
1,253.025491,0.096202,77.828353,135.311262,37.773754,2.01592,3436.36376953125,10940.0,10615.47705078125,44.756,106.643,44.756,44.756,44.756,44.756,53.365,106.643,106.643,106.643,0.004305616712,3.483285766868,10.825442205047999,4.028306447822,0.15260413604,18.49394417249,0.15411620143741667,31.0,86.0,69.0,0.5,2026-02-21T20:01:50.259402
2,250.926828,0.089362,76.471681,134.641191,37.802374,1.92222,3432.48876953125,10940.0,10615.47705078125,106.643,161.36,106.643,106.643,106.643,114.238,114.238,152.13,152.13,161.36,0.009529831766,8.4455706854805,17.932052382144,5.92533311263,0.25758036333000006,32.5700663753505,0.2714172197945875,32.0,98.0,71.0,0.5,2026-02-21T20:01:50.512262
3,250.818837,0.087162,76.41217,134.571969,37.881815,1.865721,3432.48876953125,10940.0,10615.47705078125,161.36,192.277,161.36,161.36,161.36,176.711,176.711,192.277,192.277,192.277,0.014064460320000001,12.916369362035,24.827720848686003,7.283801742754999,0.3298939886385,45.371850402434504,0.37809875335362086,32.0,97.0,74.0,0.5,2026-02-21T20:01:50.764865
4,251.953064,0.088101,76.755826,135.025337,38.22461,1.85919,3432.48876953125,10940.0,10615.47705078125,192.277,210.115,192.277,192.277,192.277,205.795,205.795,210.186,210.186,210.115,0.016939795977,15.277172583736,28.083987355298497,8.032920903805001,0.37406159124,51.785082230056496,0.43154235191713747,33.0,97.0,76.0,0.5,2026-02-21T20:01:51.018601
5,251.434156,0.091581,76.741916,134.797993,37.893276,1.90939,3432.48876953125,10940.0,10615.47705078125,210.115,214.005,210.115,210.115,210.115,213.655,213.655,214.005,214.005,214.005,0.019242541815,16.260460871659998,28.82385484319,8.109350530379999,0.4049052434,53.617814030445,0.446815116920375,33.0,97.0,77.0,0.6,2026-02-21T20:01:51.272125
6,251.284734,0.087031,76.440182,134.821703,37.903035,2.032783,3432.48876953125,10940.0,10615.47705078125,214.005,214.59,214.005,214.005,214.005,211.377,211.377,214.59,214.59,214.59,0.018625069155,16.258138749762,28.714798180900495,8.13361228065,0.4356203149425,53.56079459540999,0.4463399549617499,33.0,98.0,68.0,0.5,2026-02-21T20:01:51.525255
7,251.601869,0.088191,76.644704,134.953876,37.810874,2.104224,3432.48876953125,10940.0,10615.47705078125,214.59,213.885,214.59,214.59,214.59,213.013,213.013,213.885,213.885,213.885,0.01892490669,16.386752682256,28.805769878324003,8.08717878549,0.4508036892,53.74942994196,0.447911916183,33.0,97.0,77.0,0.6,2026-02-21T20:01:51.778741
8,251.574608,0.085462,76.694775,134.771003,37.871585,2.151783,3432.48876953125,10940.0,10615.47705078125,213.885,214.307,213.885,213.885,213.885,210.865,210.865,214.307,214.307,214.307,0.01827903987,16.288052840625003,28.650428443758003,8.116145766594999,0.460688133168,53.533594224016,0.4461132852001333,34.0,97.0,75.0,0.5,2026-02-21T20:01:52.032571
9,251.289604,0.102332,76.504532,134.883115,37.866544,1.933081,3432.48876953125,10940.0,10615.47705078125,214.307,212.007,214.307,214.307,214.307,212.91,212.91,214.468,214.468,212.007,0.021930463924,16.342018323721998,28.823037961235,8.0745671762,0.41204974671699995,53.673603671798,0.44728003059831667,34.0,97.0,77.0,0.5,2026-02-21T20:01:52.285690
10,251.226102,0.088272,76.607383,134.868634,37.818263,1.84355,3432.48876953125,10940.0,10615.47705078125,212.007,214.408,212.007,212.007,212.007,212.007,212.007,214.408,214.408,214.408,0.018714281904,16.241301447681,28.755004283554996,8.108538133303998,0.393058686625,53.516616833068994,0.44597180694224164,34.0,99.0,69.0,0.6,2026-02-21T20:01:52.538763
11,251.375116,0.089992,76.726785,134.828703,37.861895,1.867741,3432.48876953125,10940.0,10615.47705078125,214.408,212.266,214.408,214.408,214.408,212.176,212.176,214.47,214.47,212.266,0.019295004735999998,16.365209426219998,28.762063410068997,8.07851681236,0.398458261717,53.623542915102,0.44686285762585,34.0,97.0,76.0,0.5,2026-02-21T20:01:52.792325
12,251.386526,0.087441,76.538833,134.826473,38.015737,1.918042,3432.48876953125,10940.0,10615.47705078125,212.266,214.76,212.266,212.266,212.266,212.266,212.266,214.76,214.76,214.76,0.018560751306,16.246591925578,28.787204729648998,8.16425967812,0.40952690154599997,53.626143986199,0.446884533218325,34.0,96.0,76.0,0.5,2026-02-21T20:01:53.045542
13,251.231053,0.086921,76.669025,134.695342,37.879505,1.90026,3432.48876953125,10940.0,10615.47705078125,214.76,212.799,214.76,214.76,214.76,212.278,212.278,214.494,214.494,212.799,0.01866715396,16.370293548975003,28.742100248011997,8.0928236649825,0.40623663267,53.63012124859951,0.4469176770716626,35.0,99.0,73.0,0.5,2026-02-21T20:01:53.298578
14,251.372835,0.089321,76.703835,134.887805,37.830534,1.86134,3432.48876953125,10940.0,10615.47705078125,212.799,214.579,212.799,212.799,212.799,212.799,212.799,214.579,214.579,214.579,0.019007419479,16.322499384165,28.824040162645,8.117638155186,0.39774788326000005,53.680933004735,0.4473411083727917,35.0,97.0,71.0,0.5,2026-02-21T20:01:53.552144
15,251.382996,0.089792,76.538822,134.967796,37.909155,1.877431,3432.48876953125,10940.0,10615.47705078125,214.579,213.369,214.579,214.579,214.579,212.407,212.407,214.611,214.611,213.369,0.019267477568,16.340502725246,28.816839156164,8.11218007845,0.401721420794,53.690510858222,0.44742092381851667,35.0,96.0,76.0,0.5,2026-02-21T20:01:53.805423
16,251.180763,0.088001,76.624544,134.61751,38.005877,1.844831,3432.48876953125,10940.0,10615.47705078125,213.369,214.395,213.369,213.369,213.369,215.045,215.045,214.395,214.395,214.395,0.018776685369,16.413513696608,28.905071747199997,8.148269999415,0.39457614394199997,53.88020827253399,0.44900173560444995,35.0,97.0,77.0,0.5,2026-02-21T20:01:54.059066
17,252.294679,0.089191,77.394446,134.874754,37.968047,1.968241,3432.48876953125,10940.0,10615.47705078125,214.395,212.478,214.395,214.395,214.395,212.268,212.268,213.358,213.358,212.478,0.019122104445,16.510673256849003,28.703101023002002,8.084080631146,0.42009447019650004,53.73707148563851,0.4478089290469876,35.0,98.0,70.0,0.5,2026-02-21T20:01:54.313698
18,251.586838,0.089732,76.785386,134.950876,37.877345,1.883499,3432.48876953125,10940.0,10615.47705078125,212.478,213.093,212.478,212.478,212.478,212.982,212.982,213.093,213.093,213.093,0.019066075896,16.33455516378,28.749597245849998,8.071397078084999,0.4007812764645,53.5753968400755,0.44646164033396246,35.0,97.0,74.0,0.5,2026-02-21T20:01:54.567628
19,251.845602,0.087531,76.509922,135.432943,37.945786,1.86942,3432.48876953125,10940.0,10615.47705078125,213.093,212.357,213.093,213.093,213.093,209.969,209.969,211.756,211.756,212.357,0.018652243383,16.184220310582,28.5577289433375,8.046650568909001,0.39767236949999996,53.204924435711504,0.44337437029759585,35.0,96.0,76.0,0.5,2026-02-21T20:01:54.821668
20,251.732901,0.087411,76.888268,134.898294,37.952136,1.906792,3432.48876953125,10940.0,10615.47705078125,212.357,211.68,212.357,212.357,212.357,211.17,211.17,211.68,211.68,211.68,0.018562337727,16.282128740618,28.52087180895,8.03370814848,0.40427517965200005,53.259546215427,0.443829551795225,36.0,97.0,76.0,0.5,2026-02-21T20:01:55.075174
21,251.942505,0.087591,76.764626,135.122719,38.041568,1.926001,3432.48876953125,10940.0,10615.47705078125,211.68,213.172,211.68,211.68,211.68,208.777,208.777,213.172,213.172,213.172,0.01854126288,16.138112177041002,28.507448079665497,8.109397133696,0.409132688426,53.18263134170849,0.4431885945142374,35.0,99.0,69.0,0.5,2026-02-21T20:01:55.329749
22,251.463797,0.092972,76.806217,134.821854,37.874895,1.867859,3432.48876953125,10940.0,10615.47705078125,213.172,212.362,213.172,213.172,213.172,211.139,211.139,212.362,212.362,212.362,0.019819027184000002,16.2948613707435,28.548594995426996,8.04318845199,0.39741875585299996,53.3038826011975,0.4441990216766458,36.0,96.0,76.0,0.5,2026-02-21T20:01:55.583336
23,252.162448,0.086952,77.189363,135.125119,37.871535,1.889479,3432.48876953125,10940.0,10615.47705078125,209.639,211.821,209.639,209.639,209.639,209.639,209.639,211.821,211.821,211.821,0.018228530328000002,16.181900869957,28.47491632687,8.021986415235,0.39816990967,53.09520205206,0.44246001710050004,36.0,96.0,75.0,0.5,2026-02-21T20:01:55.837282
24,251.390766,0.085101,76.787236,134.809453,37.854225,1.854751,3432.48876953125,10940.0,10615.47705078125,211.821,210.456,211.821,211.821,211.821,210.159,210.159,212.667,212.667,210.456,0.018026178921,16.201338923639998,28.500470887089,8.0084966223375,0.3916093440135,53.119941956001,0.44266618296667504,36.0,99.0,74.0,0.6,2026-02-21T20:01:56.090831
25,251.539257,0.085531,76.517712,135.106358,37.926786,1.90287,3432.48876953125,10940.0,10615.47705078125,210.456,212.816,210.456,210.456,210.456,210.456,210.456,212.816,212.816,212.816,0.018000512136,16.103611596672,28.593369181688,8.071426889376,0.40271579532,53.189123975192,0.44324269979326664,37.0,97.0,69.0,0.5,2026-02-21T20:01:56.344506
26,251.131541,0.085331,76.39616,134.973746,37.825814,1.85049,3432.48876953125,10940.0,10615.47705078125,212.816,214.263,212.816,212.816,212.816,210.762,210.762,213.919,213.919,214.263,0.018159802096,16.17986633024,28.660392712513005,8.098166345074,0.395152709355,53.35173789927801,0.4445978158273167,37.0,96.0,76.0,0.5,2026-02-21T20:01:56.599241
27,252.354541,0.109462,77.140062,134.939745,37.904465,2.260807,3432.48876953125,10940.0,10615.47705078125,214.263,213.993,214.263,214.263,214.263,214.263,214.263,213.993,213.993,213.993,0.023453656506000002,16.528261104306,28.894377717359998,8.111290178745,0.48410208129599996,54.041484738213,0.450345706151775,37.0,95.0,75.0,0.5,2026-02-21T20:01:56.854286
